Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Pakistan,PAK,2.49493265,2.57026362,2.7863009,2.82844949,2.84736943,2.95273018,2.99015832,2.90354776,2.51988316,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,India,IND,3.59565973,3.50430417,2.93597651,2.8584938,2.95299792,3.34146094,3.34680939,3.39623499,3.33944035,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Indonesia,IDN,2.92428517,3.02147198,2.90417194,2.86757827,2.87862897,3.42067289,3.70634937,2.69389749,2.70239949,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Iran, Islamic Rep.",IRN,8.38232708,7.80285025,7.71801233,6.63571692,6.23426771,4.96098137,4.85886621,5.62794113,6.02542305,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kazakhstan,KAZ,3.04051113,3.42235589,3.0524447,2.90062451,2.87143755,3.83133817,3.98701859,3.74577999,3.76701546,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kuwait,KWT,4.21497965,4.73096323,4.65326786,5.17201853,5.18200397,6.11295223,5.37273169,4.20024538,4.96311998,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Middle East, North Africa, Afghanistan & Pakistan",MEA,5.39013592525597,5.5924050426126,5.53060666956274,5.15426881264019,5.18839795113514,5.76786093502018,5.43185095763575,4.9539019088825,5.3363635026536,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Afghanistan,AFG,10.10534763,11.81859016,12.62081718,14.20841885,14.83131981,15.53361416,21.50844383,23.0881691,14.9857626,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Africa Eastern and Southern,AFE,5.89167008074868,6.01403640033509,5.86588226298921,5.73062852507169,5.7558901923726,5.98459697196561,5.94259456421002,5.55902129039591,5.54080975848282,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Africa Western and Central,AFW,3.81020499573204,3.8027557657234,3.73266812536803,3.28862221030402,3.25093608157437,3.7884435601391,4.13562161186507,4.17449597524121,4.14322505750462,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Albania,ALB,6.38810158,6.65018797,6.50111914,6.59002447,6.78144073,7.46513748,7.35750389,7.53646231,7.05240345,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Algeria,DZA,6.33435678,6.00080872,5.9484539,5.9323926,5.41732121,5.63830757,5.02188873,3.63464284,4.35082531,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Andorra,AND,6.91368532,6.94162941,7.07158232,7.37781096,7.32238626,8.78462029,8.64671707,7.52135801,7.69928026,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Angola,AGO,2.29966879,2.39068723,2.4379425,2.29887486,2.20394278,2.81688905,2.73987103,2.60041046,2.54692864,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Antigua and Barbuda,ATG,4.90963078,4.93979549,4.66318989,4.6865654,4.27709961,5.68408012,4.81315422,4.43146801,3.91348195,..
